"","efo_id","trait","uri"
"141","EFO_0006507","nicotine glucuronidation measurement","http://www.ebi.ac.uk/efo/EFO_0006507"
"142","EFO_0006513","hereditary hemochromatosis","http://www.ebi.ac.uk/efo/EFO_0006513"
"143","EFO_0006514","Alzheimer's disease biomarker measurement","http://www.ebi.ac.uk/efo/EFO_0006514"
"144","EFO_0006515","angiotensin-converting enzyme measurement","http://www.ebi.ac.uk/efo/EFO_0006515"
"145","EFO_0006516","superior frontal gyrus grey matter volume measurement","http://www.ebi.ac.uk/efo/EFO_0006516"
"146","EFO_0006517","interferon alpha measurement","http://www.ebi.ac.uk/efo/EFO_0006517"
"147","EFO_0006518","response to losartan","http://www.ebi.ac.uk/efo/EFO_0006518"
"148","EFO_0006519","MMR-related febrile seizures","http://www.ebi.ac.uk/efo/EFO_0006519"
"149","HP_0002373","febrile seizures","http://purl.obolibrary.org/obo/HP_0002373"
"150","HP_0002900","hypokalemia","http://purl.obolibrary.org/obo/HP_0002900"
"151","EFO_0006520","carbon monoxide exhalation measurement","http://www.ebi.ac.uk/efo/EFO_0006520"
"152","EFO_0006521","calcium intake measurement","http://www.ebi.ac.uk/efo/EFO_0006521"
"153","EFO_0006524","L-arginine measurement","http://www.ebi.ac.uk/efo/EFO_0006524"
"154","EFO_0006522","asymmetrical dimethylarginine measurement","http://www.ebi.ac.uk/efo/EFO_0006522"
"155","EFO_0006523","symmetrical dimethylarginine measurement","http://www.ebi.ac.uk/efo/EFO_0006523"
"156","EFO_0006525","cigarettes per day measurement","http://www.ebi.ac.uk/efo/EFO_0006525"
"157","EFO_0006526","pack-years measurement","http://www.ebi.ac.uk/efo/EFO_0006526"
"158","EFO_0006527","smoking status measurement","http://www.ebi.ac.uk/efo/EFO_0006527"
"159","HP_0012235","drug-induced agranulocytosis","http://purl.obolibrary.org/obo/HP_0012235"
"160","EFO_0006781","coffee consumption measurement","http://www.ebi.ac.uk/efo/EFO_0006781"
"161","EFO_0006782","cups of coffee per day measurement","http://www.ebi.ac.uk/efo/EFO_0006782"
"162","EFO_0006783","psychosocial stress measurement","http://www.ebi.ac.uk/efo/EFO_0006783"
"163","EFO_0006784","body height at birth","http://www.ebi.ac.uk/efo/EFO_0006784"
"164","EFO_0006785","infant body height","http://www.ebi.ac.uk/efo/EFO_0006785"
"165","EFO_0006788","anxiety disorder","http://www.ebi.ac.uk/efo/EFO_0006788"
"166","EFO_0006789","typhoid fever","http://www.ebi.ac.uk/efo/EFO_0006789"
"167","EFO_0006791","vascular brain injury","http://www.ebi.ac.uk/efo/EFO_0006791"
"168","EFO_0006792","Lewy body dementia","http://www.ebi.ac.uk/efo/EFO_0006792"
"169","EFO_0006794","cerebrospinal fluid biomarker measurement","http://www.ebi.ac.uk/efo/EFO_0006794"
"170","EFO_0006793","left inferior lateral ventricle volume measurement","http://www.ebi.ac.uk/efo/EFO_0006793"
"171","EFO_0006795","serum VEGFR2 concentration measurement","http://www.ebi.ac.uk/efo/EFO_0006795"
"172","EFO_0006797","neurofibrillary tangles measurement","http://www.ebi.ac.uk/efo/EFO_0006797"
"173","EFO_0006798","neuritic plaque measurement","http://www.ebi.ac.uk/efo/EFO_0006798"
"174","EFO_0006800","vascular brain injury measurement","http://www.ebi.ac.uk/efo/EFO_0006800"
"175","EFO_0006801","Alzheimer's disease neuropathologic change","http://www.ebi.ac.uk/efo/EFO_0006801"
"176","HP_0100256","senile plaques","http://purl.obolibrary.org/obo/HP_0100256"
"177","EFO_0006802","response to red blood cell transfusion","http://www.ebi.ac.uk/efo/EFO_0006802"
"178","EFO_0006804","alloimmunization","http://www.ebi.ac.uk/efo/EFO_0006804"
"179","EFO_0006805","word list delayed recall measurement","http://www.ebi.ac.uk/efo/EFO_0006805"
"180","EFO_0006806","paragraph delayed recall measurement","http://www.ebi.ac.uk/efo/EFO_0006806"
"181","EFO_0006809","docosapentaenoic acid measurement","http://www.ebi.ac.uk/efo/EFO_0006809"
"182","EFO_0006810","oleic acid measurement","http://www.ebi.ac.uk/efo/EFO_0006810"
"183","EFO_0006808","arachidonic acid measurement","http://www.ebi.ac.uk/efo/EFO_0006808"
"184","EFO_0006807","linoleic acid measurement","http://www.ebi.ac.uk/efo/EFO_0006807"
"185","EFO_0004307","glucose tolerance test","http://www.ebi.ac.uk/efo/EFO_0004307"
"186","EFO_0004308","leukocyte count","http://www.ebi.ac.uk/efo/EFO_0004308"
"187","EFO_0004309","platelet count","http://www.ebi.ac.uk/efo/EFO_0004309"
"188","EFO_0004310","partial thromboplastin time","http://www.ebi.ac.uk/efo/EFO_0004310"
"189","EFO_0004311","heart function measurement","http://www.ebi.ac.uk/efo/EFO_0004311"
"190","EFO_0004312","vital capacity","http://www.ebi.ac.uk/efo/EFO_0004312"
"191","EFO_0004314","forced expiratory volume","http://www.ebi.ac.uk/efo/EFO_0004314"
"192","EFO_0004315","drinking behavior","http://www.ebi.ac.uk/efo/EFO_0004315"
"193","EFO_0004318","smoking behavior","http://www.ebi.ac.uk/efo/EFO_0004318"
"194","EFO_0004319","smoking cessation","http://www.ebi.ac.uk/efo/EFO_0004319"
"195","EFO_0004913","lentiform nucleus measurement","http://www.ebi.ac.uk/efo/EFO_0004913"
"196","EFO_0004321","attempted suicide","http://www.ebi.ac.uk/efo/EFO_0004321"
"197","EFO_0004323","mental process","http://www.ebi.ac.uk/efo/EFO_0004323"
"198","EFO_0004325","blood pressure","http://www.ebi.ac.uk/efo/EFO_0004325"
"199","EFO_0004326","heart rate","http://www.ebi.ac.uk/efo/EFO_0004326"
"200","EFO_0004327","electrocardiography","http://www.ebi.ac.uk/efo/EFO_0004327"
"201","EFO_0004328","exercise test","http://www.ebi.ac.uk/efo/EFO_0004328"
"202","EFO_0004329","alcohol drinking","http://www.ebi.ac.uk/efo/EFO_0004329"
"203","EFO_0004330","coffee consumption","http://www.ebi.ac.uk/efo/EFO_0004330"
"204","GO_0044691","tooth eruption","http://purl.obolibrary.org/obo/GO_0044691"
"205","EFO_0004333","episodic memory","http://www.ebi.ac.uk/efo/EFO_0004333"
"206","EFO_0004335","short-term memory","http://www.ebi.ac.uk/efo/EFO_0004335"
"207","EFO_0004336","speech perception","http://www.ebi.ac.uk/efo/EFO_0004336"
"208","EFO_0004337","intelligence","http://www.ebi.ac.uk/efo/EFO_0004337"
"209","EFO_0004338","body weight","http://www.ebi.ac.uk/efo/EFO_0004338"
"210","EFO_0005204","bulimia nervosa","http://www.ebi.ac.uk/efo/EFO_0005204"
"211","EFO_0001061","cervical carcinoma","http://www.ebi.ac.uk/efo/EFO_0001061"
"212","EFO_0005205","response to dabigatran etexilate","http://www.ebi.ac.uk/efo/EFO_0005205"
"213","EFO_0005211","aspirin hydrolysis measurement","http://www.ebi.ac.uk/efo/EFO_0005211"
"214","EFO_0005210","brain connectivity measurement","http://www.ebi.ac.uk/efo/EFO_0005210"
"215","GO_0097328","response to carboplatin","http://purl.obolibrary.org/obo/GO_0097328"
"216","EFO_0005208","glomerular filtration rate","http://www.ebi.ac.uk/efo/EFO_0005208"
"217","EFO_0005206","oligoclonal band measurement","http://www.ebi.ac.uk/efo/EFO_0005206"
"218","EFO_0004339","body height","http://www.ebi.ac.uk/efo/EFO_0004339"
"219","EFO_0004340","body mass index","http://www.ebi.ac.uk/efo/EFO_0004340"
"220","EFO_0004341","body fat distribution","http://www.ebi.ac.uk/efo/EFO_0004341"
"221","EFO_0004342","waist circumference","http://www.ebi.ac.uk/efo/EFO_0004342"
"222","EFO_0004343","waist-hip ratio","http://www.ebi.ac.uk/efo/EFO_0004343"
"223","EFO_0004344","birth weight","http://www.ebi.ac.uk/efo/EFO_0004344"
"224","EFO_0004345","corneal topography","http://www.ebi.ac.uk/efo/EFO_0004345"
"225","EFO_0004346","neuroimaging measurement","http://www.ebi.ac.uk/efo/EFO_0004346"
"226","EFO_0004348","hematocrit","http://www.ebi.ac.uk/efo/EFO_0004348"
"227","EFO_0004350","reasoning","http://www.ebi.ac.uk/efo/EFO_0004350"
"228","EFO_0004351","resting heart rate","http://www.ebi.ac.uk/efo/EFO_0004351"
"229","EFO_0004352","mortality","http://www.ebi.ac.uk/efo/EFO_0004352"
"230","EFO_0004354","circadian rhythm","http://www.ebi.ac.uk/efo/EFO_0004354"
"231","GO_0050909","sensory perception of taste","http://purl.obolibrary.org/obo/GO_0050909"
"232","EFO_0004357","electroencephalogram measurement","http://www.ebi.ac.uk/efo/EFO_0004357"
"233","EFO_0004358","event-related brain oscillation","http://www.ebi.ac.uk/efo/EFO_0004358"
"234","EFO_0004362","psychomotor performance","http://www.ebi.ac.uk/efo/EFO_0004362"
"235","EFO_0004363","information processing speed","http://www.ebi.ac.uk/efo/EFO_0004363"
"236","EFO_0004365","personality trait","http://www.ebi.ac.uk/efo/EFO_0004365"
"237","EFO_0004458","c-reactive protein measurement","http://www.ebi.ac.uk/efo/EFO_0004458"
"238","EFO_0004459","ferritin measurement","http://www.ebi.ac.uk/efo/EFO_0004459"
"239","EFO_0004460","soluble transferrin receptor measurement","http://www.ebi.ac.uk/efo/EFO_0004460"
"240","EFO_0004461","iron biomarker measurement","http://www.ebi.ac.uk/efo/EFO_0004461"
"241","EFO_0004462","PR interval","http://www.ebi.ac.uk/efo/EFO_0004462"
"242","EFO_0004463","angiotensin converting enzyme activity measurement","http://www.ebi.ac.uk/efo/EFO_0004463"
"243","EFO_0004464","brain measurement","http://www.ebi.ac.uk/efo/EFO_0004464"
"244","EFO_0004465","fasting blood glucose measurement","http://www.ebi.ac.uk/efo/EFO_0004465"
"245","EFO_0004466","fasting blood insulin measurement","http://www.ebi.ac.uk/efo/EFO_0004466"
"246","EFO_0004467","insulin measurement","http://www.ebi.ac.uk/efo/EFO_0004467"
"247","EFO_0004468","glucose measurement","http://www.ebi.ac.uk/efo/EFO_0004468"
"248","EFO_0004502","adiponectin measurement","http://www.ebi.ac.uk/efo/EFO_0004502"
"249","EFO_0004503","hematological measurement","http://www.ebi.ac.uk/efo/EFO_0004503"
"250","EFO_0004504","serum hepcidin measurement","http://www.ebi.ac.uk/efo/EFO_0004504"
"251","EFO_0004505","telomere length","http://www.ebi.ac.uk/efo/EFO_0004505"
"252","EFO_0004506","monocyte early outgrowth colony forming unit","http://www.ebi.ac.uk/efo/EFO_0004506"
"253","EFO_0004507","D dimer measurement","http://www.ebi.ac.uk/efo/EFO_0004507"
"254","EFO_0004508","spine bone size","http://www.ebi.ac.uk/efo/EFO_0004508"
"255","EFO_0004509","hemoglobin measurement","http://www.ebi.ac.uk/efo/EFO_0004509"
"256","EFO_0004510","hpv seropositivity","http://www.ebi.ac.uk/efo/EFO_0004510"
"257","EFO_0004511","femoral neck bone geometry","http://www.ebi.ac.uk/efo/EFO_0004511"
"258","EFO_0004512","bone measurement","http://www.ebi.ac.uk/efo/EFO_0004512"
"259","EFO_0004516","bone fracture related measurement","http://www.ebi.ac.uk/efo/EFO_0004516"
"260","EFO_0004517","arterial stiffness measurement","http://www.ebi.ac.uk/efo/EFO_0004517"
"261","EFO_0004518","serum creatinine measurement","http://www.ebi.ac.uk/efo/EFO_0004518"
"262","EFO_0004519","soluble p-selectin measurement","http://www.ebi.ac.uk/efo/EFO_0004519"
"263","EFO_0004520","icam-1 measurement","http://www.ebi.ac.uk/efo/EFO_0004520"
"264","GO_0050913","sensory perception of bitter taste","http://purl.obolibrary.org/obo/GO_0050913"
"265","EFO_0004526","mean corpuscular volume","http://www.ebi.ac.uk/efo/EFO_0004526"
"266","EFO_0004527","mean corpuscular hemoglobin","http://www.ebi.ac.uk/efo/EFO_0004527"
"267","EFO_0004529","lipid measurement","http://www.ebi.ac.uk/efo/EFO_0004529"
"268","EFO_0004530","triglyceride measurement","http://www.ebi.ac.uk/efo/EFO_0004530"
"269","EFO_0004531","urate measurement","http://www.ebi.ac.uk/efo/EFO_0004531"
"270","EFO_0004532","serum gamma-glutamyl transferase measurement","http://www.ebi.ac.uk/efo/EFO_0004532"
"271","EFO_0004533","alkaline phosphatase measurement","http://www.ebi.ac.uk/efo/EFO_0004533"
"272","EFO_0004534","creatine kinase measurement","http://www.ebi.ac.uk/efo/EFO_0004534"
"273","EFO_0004535","serum albumin measurement","http://www.ebi.ac.uk/efo/EFO_0004535"
"274","EFO_0004537","neonatal systemic lupus erthematosus","http://www.ebi.ac.uk/efo/EFO_0004537"
"275","EFO_0004540","chronic fatigue syndrome","http://www.ebi.ac.uk/efo/EFO_0004540"
"276","EFO_0004541","a1c measurement","http://www.ebi.ac.uk/efo/EFO_0004541"
"277","EFO_0004569","brain serotonin transporter measurement","http://www.ebi.ac.uk/efo/EFO_0004569"
"278","EFO_0004570","bilirubin measurement","http://www.ebi.ac.uk/efo/EFO_0004570"
"279","EFO_0004571","butyrylcholinesterase measurement","http://www.ebi.ac.uk/efo/EFO_0004571"
"280","EFO_0004572","C4BP measurement","http://www.ebi.ac.uk/efo/EFO_0004572"
"281","EFO_0004573","chemerin measurement","http://www.ebi.ac.uk/efo/EFO_0004573"
"282","EFO_0004574","total cholesterol measurement","http://www.ebi.ac.uk/efo/EFO_0004574"
"283","EFO_0004575","e-selectin measurement","http://www.ebi.ac.uk/efo/EFO_0004575"
"284","EFO_0004576","fetal hemoglobin measurement","http://www.ebi.ac.uk/efo/EFO_0004576"
"285","EFO_0004577","infant head circumference","http://www.ebi.ac.uk/efo/EFO_0004577"
"286","EFO_0004578","homocysteine measurement","http://www.ebi.ac.uk/efo/EFO_0004578"
"287","EFO_0004579","serum IgE measurement","http://www.ebi.ac.uk/efo/EFO_0004579"
"288","EFO_0004581","interleukin 18 measurement","http://www.ebi.ac.uk/efo/EFO_0004581"
"289","EFO_0004582","liver enzyme measurement","http://www.ebi.ac.uk/efo/EFO_0004582"
"290","EFO_0004735","serum alanine aminotransferase measurement","http://www.ebi.ac.uk/efo/EFO_0004735"
"291","EFO_0004584","mean platelet volume","http://www.ebi.ac.uk/efo/EFO_0004584"
"292","EFO_0004585","naphthyl-keratin adduct measurement","http://www.ebi.ac.uk/efo/EFO_0004585"
"293","EFO_0004587","lymphocyte count","http://www.ebi.ac.uk/efo/EFO_0004587"
"294","EFO_0004589","brachial circumference","http://www.ebi.ac.uk/efo/EFO_0004589"
"295","EFO_0004591","childhood onset asthma","http://www.ebi.ac.uk/efo/EFO_0004591"
"296","EFO_0004593","gestational diabetes","http://www.ebi.ac.uk/efo/EFO_0004593"
"297","EFO_0004232","eosinophilic esophagitis","http://www.ebi.ac.uk/efo/EFO_0004232"
"298","EFO_0004595","hiv mother to child transmission","http://www.ebi.ac.uk/efo/EFO_0004595"
"299","EFO_0004596","diabetes mellitus type 2 associated cataract","http://www.ebi.ac.uk/efo/EFO_0004596"
"300","EFO_0004599","acute graft vs. host disease","http://www.ebi.ac.uk/efo/EFO_0004599"
"301","EFO_0004606","gallbladder neoplasm","http://www.ebi.ac.uk/efo/EFO_0004606"
"302","EFO_0004607","duodenal ulcer","http://www.ebi.ac.uk/efo/EFO_0004607"
